Id,Entidad financiera,Dirección,Localidad,CP,Telediscado,Teléfono,Fax,Caj.Aut.,Latitud,Longitud
0,N/D,N/D,N/D,N/D,,,,NO,,
1,BANCO CREDICOOP COOPERATIVO LIMITADO,CALLE 29 802,25 DE MAYO,B6660ACQ,2345,462713,462713,NO,-35.430904,-60.170774
2,BANCO CREDICOOP COOPERATIVO LIMITADO,CALLE 29 802,25 DE MAYO,B6660ACQ,,,,NO,-35.430904,-60.170774
3,BANCO DE LA NACION ARGENTINA,CALLE 9 900,25 DE MAYO,B6660BVR,,,,NO,-35.43182,-601.7114
4,BANCO DE LA PROVINCIA DE BUENOS AIRES,CALLE 9 901,25 DE MAYO,B6660BVS,2345,462036,,NO,-35.431997,-60.170905
5,BANCO DE LA PROVINCIA DE BUENOS AIRES,CALLE 9 901 Y CALLE 28,25 DE MAYO,B6660BVS,,,,NO,-35.431809,-60.170776
6,BANCO DE LA PROVINCIA DE BUENOS AIRES,LEANDRO N ALEM Y HIPOLITO YRIGOYEN,30 DE AGOSTO,B6405BFF,,,,NO,-36.279102,-62.547104
7,HSBC BANK ARGENTINA S.A.,LOS ANDES 1381,9 DE ABRIL,B1832DGB,11,42444554,,NO,-34.775389,-58.418609
8,BANCO CREDICOOP COOPERATIVO LIMITADO,RUTA DE LA TRADICION 6005,9 DE ABRIL,B1839FRG,11,46931923,46931923,NO,-34.755254,-58.484961
9,BANCO CREDICOOP COOPERATIVO LIMITADO,RUTA DE LA TRADICION 6005,9 DE ABRIL,B1839FRG,,,,NO,-34.755254,-58.484961
10,BANCO SANTANDER ARGENTINA S.A.,RUTA DE LA TRADICION 7732 PB DPTO: 1,9 DE ABRIL,B1839FSX,11,43411000 int 1002,4341000,NO,34.742106,58.4951
11,BANCO CREDICOOP COOPERATIVO LIMITADO,AV AVELLANEDA 1561,9 DE JULIO,B6500ATC,,,,NO,-35.452849,-60.882606
12,BANCO SANTANDER ARGENTINA S.A.,AV SAN MARTIN 1237 PB DPTO: 1,9 DE JULIO,B6500BWG,,,,NO,42.913111,71.317068
13,BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. BARTOLOME MITRE 1305,9 DE JULIO,B6500ABA,2317,430602 int 69800,430357,NO,-35.445039,-60.885186
14,BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. BARTOLOME MITRE 1305,9 DE JULIO,B6500ABA,,,,NO,-35.44513,-60.88519
15,BANCO DE LA PROVINCIA DE BUENOS AIRES,AV. BARTOLOME MITRE 1305,9 DE JULIO,B6500ABA,2317,430602 int 69800,430084,NO,-35.445053,-60.885179
16,BANCO SUPERVIELLE S.A.,AV. MITRE 1053,9 DE JULIO,B6500AAK,2317,427882,,NO,-34.877,-61.518474
17,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,AV. MITRE 1088,9 DE JULIO,B6500AAX,,,,NO,-42.912811,-71.329122
18,BANCO MACRO S.A.,BARTOLOME MITRE 1162 PB,9 DE JULIO,B6500AAY,,,,NO,-42.912247,-71.329902
19,BANCO BBVA ARGENTINA S.A.,HIPOLITO YRIGOYEN 921,9 DE JULIO,B6500DJQ,,,,NO,-35.457642,-60.887272
20,BANCO DE LA NACION ARGENTINA,RIOJA 1199,9 DE JULIO,B6500ADL,,,,NO,-35.44543,-608.8324
21,BANCO CREDICOOP COOPERATIVO LIMITADO,SAN MARTIN 1293,9 DE JULIO,B6500EVV,2317,430576,430576,NO,-42.912694,-71.316487
22,BANCO ITAU ARGENTINA S.A.,RUTA NACIONAL N› 2 KM 054 DPTO: OFICINA,ABASTO,B1933BWA,21,3013110,,NO,-35.003039,-58.120508
23,BANCO SANTANDER ARGENTINA S.A.,AV DEL LIBERTADOR 14998 PB DPTO: 1,ACASSUSO,B1641ANS,,,,NO,34.476037,58.499543
